index,Cognitively Normal Typical fALFF,Substantia Nigra Right Cognitively Normal,SN Cos Sim,SN Absolute Difference,Mean Absolute Difference
Frontal Pole,0.0114322932234166,0.0094583372295509,0.9955654911747054,0.001973955993865701,0.0009128621362494444
Insular Cortex,0.0105191762175778,0.0094583372295509,0.9985930819285255,0.0010608389880268996,2.5486958935699855e-07
Superior Frontal Gyrus,0.0105591034221715,0.0094583372295509,0.998491450819821,0.0011007661926205996,3.967233500434299e-05
Middle Frontal Gyrus,0.0108519023521119,0.0094583372295509,0.9976543441368881,0.0013935651225610007,0.0003324712649447441
"Inferior Frontal Gyrus, pars triangularis",0.0114936347466709,0.0094583372295509,0.9953149353823108,0.0020352975171199997,0.0009742036595037432
"Inferior Frontal Gyrus, pars opercularis",0.0107717100133961,0.0094583372295509,0.9978992130284539,0.0013133727838452007,0.0002522789262289441
Precentral Gyrus,0.0119371964927864,0.0094583372295509,0.9933551996423979,0.002478859263235501,0.0014177654056192444
Temporal Pole,0.0089055992597077,0.0094583372295509,0.9995473296260664,0.0005527379698431999,0.0016138318274594565
"Superior Temporal Gyrus, anterior division",0.0096786202214741,0.0094583372295509,0.9999337565413475,0.0002202829919232003,0.0008408108656930563
"Superior Temporal Gyrus, posterior division",0.0102280500268434,0.0094583372295509,0.9992365197864057,0.0007697127972924999,0.0002913810603237567
"Middle Temporal Gyrus, anterior division",0.0110341631379307,0.0094583372295509,0.9970564209422452,0.0015758259083797996,0.0005147320507635431
"Middle Temporal Gyrus, posterior division",0.0105135163271684,0.0094583372295509,0.9986072358641875,0.0010551790976175007,5.914759998755861e-06
"Middle Temporal Gyrus, temporooccipital part",0.0096079860069183,0.0094583372295509,0.9999691991726682,0.0001496487773674001,0.0009114450802488565
"Inferior Temporal Gyrus, anterior division",0.0104479965279118,0.0094583372295509,0.9987664558453699,0.0009896592983609006,7.1434559255356e-05
"Inferior Temporal Gyrus, posterior division",0.0102075397400682,0.0094583372295509,0.9992751145274222,0.0007492025105172995,0.0003118913470989571
"Inferior Temporal Gyrus, temporooccipital part",0.0105779938326496,0.0094583372295509,0.9984422863879661,0.0011196566030986996,5.856274548244299e-05
Postcentral Gyrus,0.0125441515901544,0.0094583372295509,0.99030793722261,0.0030858143606034994,0.002024720502987243
Superior Parietal Lobule,0.0110777583322261,0.0094583372295509,0.9969051892047651,0.001619421102675201,0.0005583272450589444
"Supramarginal Gyrus, anterior division",0.0116894357196869,0.0094583372295509,0.9944808627597868,0.0022310984901360003,0.0011700046325197437
"Supramarginal Gyrus, posterior division",0.0118683054460618,0.0094583372295509,0.9936756999218639,0.0024099682165108997,0.001348874358894643
Angular Gyrus,0.0108974707537735,0.0094583372295509,0.9975101616672803,0.0014391335242225998,0.0003780396666063432
"Lateral Occipital Cortex, superior division",0.0109157107902903,0.0094583372295509,0.9974514426143644,0.0014573735607394007,0.00039627970312314416
"Lateral Occipital Cortex, inferior division",0.0119930977267051,0.0094583372295509,0.9930910482679829,0.0025347604971542002,0.0014736666395379436
Intracalcarine Cortex,0.012562228196853,0.0094583372295509,0.9902115769169196,0.003103890967302101,0.0020427971096858445
Frontal Medial Cortex,0.011677237991257,0.0094583372295509,0.9945343019164469,0.0022189007617061003,0.0011578069040898437
